,time,price,time_converted
107,1628883813,15116.250000,2021-08-13 15:43:33
108,1628883813,15116.500000,2021-08-13 15:43:33
109,1628883813,15116.500000,2021-08-13 15:43:33
110,1628883813,15116.500000,2021-08-13 15:43:33
111,1628883813,15116.500000,2021-08-13 15:43:33
112,1628883813,15116.250000,2021-08-13 15:43:33
113,1628883813,15116.250000,2021-08-13 15:43:33
114,1628883813,15116.250000,2021-08-13 15:43:33
115,1628883813,15116.250000,2021-08-13 15:43:33
116,1628883813,15116.250000,2021-08-13 15:43:33
117,1628883813,15116.250000,2021-08-13 15:43:33
118,1628883813,15116.250000,2021-08-13 15:43:33
119,1628883813,15116.250000,2021-08-13 15:43:33
120,1628883814,15116.250000,2021-08-13 15:43:34
121,1628883814,15116.000000,2021-08-13 15:43:34
122,1628883814,15116.000000,2021-08-13 15:43:34
123,1628883814,15116.000000,2021-08-13 15:43:34
124,1628883814,15116.000000,2021-08-13 15:43:34
125,1628883814,15116.000000,2021-08-13 15:43:34
126,1628883814,15116.000000,2021-08-13 15:43:34
127,1628883814,15116.000000,2021-08-13 15:43:34
128,1628883814,15116.000000,2021-08-13 15:43:34
129,1628883814,15116.000000,2021-08-13 15:43:34
130,1628883815,15116.000000,2021-08-13 15:43:35
131,1628883815,15116.000000,2021-08-13 15:43:35
132,1628883815,15115.750000,2021-08-13 15:43:35
133,1628883816,15115.500000,2021-08-13 15:43:36
134,1628883816,15115.500000,2021-08-13 15:43:36
135,1628883816,15115.500000,2021-08-13 15:43:36
136,1628883816,15115.500000,2021-08-13 15:43:36
137,1628883817,15115.750000,2021-08-13 15:43:37
138,1628883817,15115.750000,2021-08-13 15:43:37
139,1628883817,15115.500000,2021-08-13 15:43:37
140,1628883817,15115.500000,2021-08-13 15:43:37
141,1628883818,15115.500000,2021-08-13 15:43:38
142,1628883818,15115.500000,2021-08-13 15:43:38
143,1628883818,15115.500000,2021-08-13 15:43:38
144,1628883818,15115.250000,2021-08-13 15:43:38
145,1628883818,15115.250000,2021-08-13 15:43:38
146,1628883818,15115.250000,2021-08-13 15:43:38
147,1628883819,15115.500000,2021-08-13 15:43:39
148,1628883819,15115.500000,2021-08-13 15:43:39
149,1628883819,15115.500000,2021-08-13 15:43:39
150,1628883820,15115.500000,2021-08-13 15:43:40
151,1628883821,15115.500000,2021-08-13 15:43:41
152,1628883821,15115.750000,2021-08-13 15:43:41
153,1628883822,15115.750000,2021-08-13 15:43:42
154,1628883822,15116.000000,2021-08-13 15:43:42
155,1628883822,15115.750000,2021-08-13 15:43:42
156,1628883824,15115.750000,2021-08-13 15:43:44
157,1628883828,15116.000000,2021-08-13 15:43:48
